location,Basel
lat,47.75000
lon,7.50000
asl,363.653
variable,Wind Gust
unit,km/h
level,sfc
resolution,hourly
aggregation,None
timestamp,Basel Wind Gust
20220101T0000,16.919998
20220101T0100,16.56
20220101T0200,15.119999
20220101T0300,14.4
20220101T0400,12.24
20220101T0500,11.879999
20220101T0600,12.24
20220101T0700,11.879999
20220101T0800,13.679999
20220101T0900,15.84
20220101T1000,15.4800005
20220101T1100,16.919998
20220101T1200,16.919998
20220101T1300,16.199999
20220101T1400,14.4
20220101T1500,12.599999
20220101T1600,10.799999
20220101T1700,9.72
20220101T1800,11.5199995
20220101T1900,12.24
20220101T2000,12.599999
20220101T2100,16.919998
20220101T2200,16.199999
20220101T2300,16.919998
20220102T0000,16.919998
20220102T0100,17.28
20220102T0200,16.919998
20220102T0300,17.28
20220102T0400,17.28
20220102T0500,17.64
20220102T0600,18.0
20220102T0700,18.0
20220102T0800,19.08
20220102T0900,21.96
20220102T1000,21.96
20220102T1100,21.96
20220102T1200,24.48
20220102T1300,26.28
20220102T1400,28.08
20220102T1500,28.8
20220102T1600,27.0
20220102T1700,31.319998
20220102T1800,31.319998
20220102T1900,31.319998
20220102T2000,31.319998
20220102T2100,37.8
20220102T2200,41.760002
20220102T2300,42.48
20220103T0000,45.0
20220103T0100,47.519997
20220103T0200,47.519997
20220103T0300,44.639996
20220103T0400,42.48
20220103T0500,41.399998
20220103T0600,40.68
20220103T0700,39.6
20220103T0800,38.519997
20220103T0900,30.960001
20220103T1000,31.319998
20220103T1100,34.92
20220103T1200,34.92
20220103T1300,34.56
20220103T1400,34.2
20220103T1500,35.28
20220103T1600,36.36
20220103T1700,34.56
20220103T1800,32.039997
20220103T1900,33.839996
20220103T2000,35.64
20220103T2100,35.64
20220103T2200,35.64
20220103T2300,32.399998
20220104T0000,32.399998
20220104T0100,35.64
20220104T0200,42.12
20220104T0300,52.92
20220104T0400,48.96
20220104T0500,44.639996
20220104T0600,46.44
20220104T0700,47.16
20220104T0800,49.68
20220104T0900,59.76
20220104T1000,61.199997
20220104T1100,60.839996
20220104T1200,61.920002
20220104T1300,62.279995
20220104T1400,57.6
20220104T1500,61.56
20220104T1600,69.12
20220104T1700,59.039997
20220104T1800,49.68
20220104T1900,51.48
20220104T2000,48.96
20220104T2100,27.0
20220104T2200,26.28
20220104T2300,27.359999
20220105T0000,27.359999
20220105T0100,28.44
20220105T0200,30.599998
20220105T0300,33.48
20220105T0400,36.36
20220105T0500,37.079998
20220105T0600,38.16
20220105T0700,38.88
20220105T0800,41.399998
20220105T0900,34.92
20220105T1000,33.48
20220105T1100,30.599998
20220105T1200,31.68
20220105T1300,32.760002
20220105T1400,33.12
20220105T1500,32.760002
20220105T1600,30.239998
20220105T1700,25.199999
20220105T1800,19.8
20220105T1900,16.56
20220105T2000,15.119999
20220105T2100,16.56
20220105T2200,14.04
20220105T2300,13.32
20220106T0000,12.24
20220106T0100,11.5199995
20220106T0200,11.5199995
20220106T0300,11.5199995
20220106T0400,12.24
20220106T0500,13.32
20220106T0600,13.679999
20220106T0700,12.959999
20220106T0800,10.799999
20220106T0900,12.959999
20220106T1000,11.5199995
20220106T1100,10.08
20220106T1200,11.879999
20220106T1300,14.4
20220106T1400,16.199999
20220106T1500,16.199999
20220106T1600,14.759999
20220106T1700,11.879999
20220106T1800,9.36
20220106T1900,8.28
20220106T2000,7.2
20220106T2100,5.3999996
20220106T2200,4.32
20220106T2300,4.68
20220107T0000,7.92
20220107T0100,9.72
20220107T0200,11.5199995
20220107T0300,12.24
20220107T0400,12.599999
20220107T0500,12.599999
20220107T0600,12.599999
20220107T0700,13.679999
20220107T0800,15.119999
20220107T0900,18.0
20220107T1000,20.16
20220107T1100,23.759998
20220107T1200,24.48
20220107T1300,25.56
20220107T1400,27.72
20220107T1500,28.08
20220107T1600,28.44
20220107T1700,30.599998
20220107T1800,31.319998
20220107T1900,32.399998
20220107T2000,31.319998
20220107T2100,31.68
20220107T2200,30.960001
20220107T2300,30.599998
20220108T0000,29.519999
20220108T0100,29.519999
20220108T0200,36.0
20220108T0300,39.6
20220108T0400,47.88
20220108T0500,45.719997
20220108T0600,49.68
20220108T0700,48.6
20220108T0800,45.719997
20220108T0900,34.56
20220108T1000,31.68
20220108T1100,28.44
20220108T1200,36.36
20220108T1300,37.8
20220108T1400,37.079998
20220108T1500,35.64
20220108T1600,33.48
20220108T1700,30.239998
20220108T1800,30.239998
20220108T1900,34.2
20220108T2000,37.8
